,name_short,Matrix short,Polarity,detectability,intensity,log10_intensity
0,2-Oxoglutaric acid,9AA,negative,1,65207.863,4.814306627793246
1,2-Oxoglutaric acid,9AA,positive,0,0.0,0.0
2,2-Oxoglutaric acid,CHCA,negative,1,1489.3842,3.173298237829419
3,2-Oxoglutaric acid,CHCA,positive,1,72.43064,1.8658773134081028
4,2-Oxoglutaric acid,CMBT,negative,1,879.0179,2.9444915060048995
5,2-Oxoglutaric acid,CMBT,positive,0,0.0,0.0
6,2-Oxoglutaric acid,ClCCA,negative,1,88.82836,1.9534134708215005
7,2-Oxoglutaric acid,ClCCA,positive,1,54.59107,1.7450050332870481
8,2-Oxoglutaric acid,DAN,negative,1,6752.459,3.829526267622287
9,2-Oxoglutaric acid,DAN,positive,1,91.186413,1.9646669167808601
10,2-Oxoglutaric acid,DHAP,negative,1,1492.5983,3.174233810631274
11,2-Oxoglutaric acid,DHAP,positive,1,76.893745,1.8915025844883326
12,2-Oxoglutaric acid,DHB,negative,1,930.48126,2.9691741219692886
13,2-Oxoglutaric acid,DHB,positive,1,210.54546,2.3254037093264714
14,2-Oxoglutaric acid,MAPS,negative,1,388.89798,2.590950985182533
15,2-Oxoglutaric acid,MAPS,positive,0,0.0,0.0
16,2-Oxoglutaric acid,NEDC,negative,0,0.0,0.0
17,2-Oxoglutaric acid,NEDC,positive,0,0.0,0.0
18,2-Oxoglutaric acid,NOR,negative,1,36786.184,4.565696544556646
19,2-Oxoglutaric acid,NOR,positive,0,0.0,0.0
20,2-Oxoglutaric acid,pNA,negative,1,6166.8667,3.7901349791674126
21,3-Hydroxyanthranilic acid,9AA,negative,1,5677.06561,3.754200406487889
22,3-Hydroxyanthranilic acid,9AA,positive,0,0.0,0.0
23,3-Hydroxyanthranilic acid,CHCA,negative,0,0.0,0.0
24,3-Hydroxyanthranilic acid,CHCA,positive,1,854.46674,2.932203129113515
25,3-Hydroxyanthranilic acid,CMBT,negative,0,0.0,0.0
26,3-Hydroxyanthranilic acid,CMBT,positive,0,0.0,0.0
27,3-Hydroxyanthranilic acid,ClCCA,negative,0,0.0,0.0
28,3-Hydroxyanthranilic acid,ClCCA,positive,1,129.4211,2.11534785882126
29,3-Hydroxyanthranilic acid,DAN,positive,0,0.0,0.0
30,3-Hydroxyanthranilic acid,DHAP,negative,0,0.0,0.0
31,3-Hydroxyanthranilic acid,DHAP,positive,1,23.555162,1.3901428036874959
32,3-Hydroxyanthranilic acid,DHB,negative,0,0.0,0.0
33,3-Hydroxyanthranilic acid,MAPS,negative,1,950.47253,2.9783962542713494
34,3-Hydroxyanthranilic acid,MAPS,positive,0,0.0,0.0
35,3-Hydroxyanthranilic acid,NEDC,negative,0,0.0,0.0
36,3-Hydroxyanthranilic acid,NEDC,positive,0,0.0,0.0
37,3-Hydroxyanthranilic acid,NOR,negative,0,0.0,0.0
38,3-Hydroxyanthranilic acid,NOR,positive,0,0.0,0.0
39,3-Hydroxyanthranilic acid,pNA,negative,0,0.0,0.0
40,3-Hydroxyanthranilic acid,pNA,positive,0,0.0,0.0
41,3-Hydroxymethylglutaric acid,9AA,negative,0,0.0,0.0
42,3-Hydroxymethylglutaric acid,9AA,positive,0,0.0,0.0
43,3-Hydroxymethylglutaric acid,CHCA,negative,0,0.0,0.0
44,3-Hydroxymethylglutaric acid,CHCA,positive,0,0.0,0.0
45,3-Hydroxymethylglutaric acid,CMBT,negative,1,2040.8381,3.3100213033414287
46,3-Hydroxymethylglutaric acid,CMBT,positive,1,1341.400024,3.127881951249127
47,3-Hydroxymethylglutaric acid,ClCCA,negative,1,579.8331,2.7640513575848473
48,3-Hydroxymethylglutaric acid,ClCCA,positive,1,6702.37694,3.826293641049597
49,3-Hydroxymethylglutaric acid,DAN,negative,0,0.0,0.0
50,3-Hydroxymethylglutaric acid,DAN,positive,0,0.0,0.0
51,3-Hydroxymethylglutaric acid,DHAP,negative,1,2897.0745,3.4621095455668427
52,3-Hydroxymethylglutaric acid,DHAP,positive,1,898.8486389999999,2.9541694641333964
53,3-Hydroxymethylglutaric acid,DHB,negative,0,0.0,0.0
54,3-Hydroxymethylglutaric acid,MAPS,negative,1,4850.6377,3.685888362110946
55,3-Hydroxymethylglutaric acid,MAPS,positive,1,58.14813,1.7719410187269415
56,3-Hydroxymethylglutaric acid,NEDC,negative,1,352.04083,2.5478249354679043
57,3-Hydroxymethylglutaric acid,NEDC,positive,1,41.70935,1.6305229618842967
58,3-Hydroxymethylglutaric acid,NOR,negative,0,0.0,0.0
59,3-Hydroxymethylglutaric acid,NOR,positive,0,0.0,0.0
60,3-Hydroxymethylglutaric acid,pNA,negative,0,0.0,0.0
61,3-Hydroxymethylglutaric acid,pNA,positive,0,0.0,0.0
62,3-Phosphoglyceric acid,9AA,negative,1,146078.0,5.164587787189345
63,3-Phosphoglyceric acid,9AA,positive,0,0.0,0.0
64,3-Phosphoglyceric acid,CHCA,negative,1,1875.6426,3.273381570635653
65,3-Phosphoglyceric acid,CHCA,positive,1,1369.61643,3.136915933533886
66,3-Phosphoglyceric acid,CMBT,negative,0,0.0,0.0
67,3-Phosphoglyceric acid,CMBT,positive,0,0.0,0.0
68,3-Phosphoglyceric acid,ClCCA,negative,1,183.77728,2.2666485698211445
69,3-Phosphoglyceric acid,ClCCA,positive,1,491.971379,2.6928217056804975
70,3-Phosphoglyceric acid,DAN,negative,1,339.9789,2.5327275053940004
71,3-Phosphoglyceric acid,DAN,positive,0,0.0,0.0
72,3-Phosphoglyceric acid,DHAP,negative,1,87.839325,1.9486052501253226
73,3-Phosphoglyceric acid,DHAP,positive,0,0.0,0.0
74,3-Phosphoglyceric acid,DHB,negative,1,509.05933,2.7076206960841422
75,3-Phosphoglyceric acid,DHB,positive,1,556.148756,2.7459711651642458
76,3-Phosphoglyceric acid,MAPS,negative,0,0.0,0.0
77,3-Phosphoglyceric acid,MAPS,positive,0,0.0,0.0
78,3-Phosphoglyceric acid,NEDC,negative,1,54.33839,1.7430265197437271
79,3-Phosphoglyceric acid,NEDC,positive,0,0.0,0.0
80,3-Phosphoglyceric acid,NOR,negative,1,58597.375,4.767885572702078
81,3-Phosphoglyceric acid,NOR,positive,0,0.0,0.0
82,3-Phosphoglyceric acid,pNA,negative,1,141.76958,2.154635681911425
83,3-Phosphoglyceric acid,pNA,positive,0,0.0,0.0
84,"4,5-Dihydroorotic acid",9AA,negative,1,93642.64555,4.971478312451223
85,"4,5-Dihydroorotic acid",9AA,positive,0,0.0,0.0
86,"4,5-Dihydroorotic acid",CHCA,negative,1,2834.2925,3.4525978690783834
87,"4,5-Dihydroorotic acid",CHCA,positive,1,609.285701,2.7855331945517987
88,"4,5-Dihydroorotic acid",CMBT,negative,1,133.090082,2.1273966563604434
89,"4,5-Dihydroorotic acid",CMBT,positive,1,69.97619,1.85111268272098
90,"4,5-Dihydroorotic acid",ClCCA,negative,1,104.67583,2.023975667553854
91,"4,5-Dihydroorotic acid",ClCCA,positive,1,99.755815,2.0032701203172167
92,"4,5-Dihydroorotic acid",DAN,negative,1,4853.601,3.686153541016593
93,"4,5-Dihydroorotic acid",DAN,positive,1,80.99259,1.9137746052187918
94,"4,5-Dihydroorotic acid",DHAP,negative,1,388.35788,2.590348968568283
95,"4,5-Dihydroorotic acid",DHAP,positive,1,14.219331,1.182395562461227
96,"4,5-Dihydroorotic acid",DHB,negative,1,747.35974,2.8741104154311916
97,"4,5-Dihydroorotic acid",DHB,positive,1,245.530798,2.3918711814873017
98,"4,5-Dihydroorotic acid",MAPS,negative,0,0.0,0.0
99,"4,5-Dihydroorotic acid",MAPS,positive,0,0.0,0.0
100,"4,5-Dihydroorotic acid",NEDC,negative,0,0.0,0.0
101,"4,5-Dihydroorotic acid",NEDC,positive,0,0.0,0.0
102,"4,5-Dihydroorotic acid",NOR,negative,1,19093.518,4.280908700018459
103,"4,5-Dihydroorotic acid",NOR,positive,0,0.0,0.0
104,"4,5-Dihydroorotic acid",pNA,negative,1,2257.4182,3.3538043650183007
105,"4,5-Dihydroorotic acid",pNA,positive,1,38.06751,1.5918157319895412
106,4-Hydroxyproline,9AA,negative,1,2378.876126,3.3765543523528434
107,4-Hydroxyproline,9AA,positive,1,216.68367,2.3378258507457588
108,4-Hydroxyproline,CHCA,positive,1,30595.555999999997,4.485672544312549
109,4-Hydroxyproline,CMBT,negative,0,0.0,0.0
110,4-Hydroxyproline,CMBT,positive,1,1600.894755,3.204633979398526
111,4-Hydroxyproline,ClCCA,negative,0,0.0,0.0
112,4-Hydroxyproline,ClCCA,positive,1,5382.33868,3.731051703283684
113,4-Hydroxyproline,DAN,negative,1,4252.745604999999,3.6287715133879717
114,4-Hydroxyproline,DAN,positive,1,1487.8577699999998,3.17285321175185
115,4-Hydroxyproline,DHAP,negative,1,237.07237,2.376708995351015
116,4-Hydroxyproline,DHAP,positive,1,2184.10334,3.339471980862729
117,4-Hydroxyproline,DHB,negative,0,0.0,0.0
118,4-Hydroxyproline,DHB,positive,1,14637.835,4.165506515711207
119,4-Hydroxyproline,MAPS,negative,0,0.0,0.0
120,4-Hydroxyproline,MAPS,positive,0,0.0,0.0
121,4-Hydroxyproline,NEDC,negative,0,0.0,0.0
122,4-Hydroxyproline,NEDC,positive,0,0.0,0.0
123,4-Hydroxyproline,NOR,negative,1,1675.1226,3.2243057819291914
124,4-Hydroxyproline,NOR,positive,1,522.11316,2.7185956457462104
125,4-Hydroxyproline,pNA,negative,1,319.6381,2.5060151263669748
126,4-Hydroxyproline,pNA,positive,1,3459.64477,3.5391570219041957
127,5-Hydroxyindoleacetic acid,9AA,negative,1,296.88385,2.4740469582468996
128,5-Hydroxyindoleacetic acid,9AA,positive,0,0.0,0.0
129,5-Hydroxyindoleacetic acid,CMBT,negative,0,0.0,0.0
130,5-Hydroxyindoleacetic acid,CMBT,positive,1,499.015852,2.6989837729900135
131,5-Hydroxyindoleacetic acid,ClCCA,negative,0,0.0,0.0
132,5-Hydroxyindoleacetic acid,ClCCA,positive,1,1389.46646,3.1431605175348776
133,5-Hydroxyindoleacetic acid,DAN,negative,1,6172.612,3.7905393314055487
134,5-Hydroxyindoleacetic acid,DAN,positive,1,1444.37535,3.159980643816147
135,5-Hydroxyindoleacetic acid,DHAP,negative,1,76.438995,1.888959708081503
136,5-Hydroxyindoleacetic acid,DHAP,positive,1,975.9618,2.9898775827837203
137,5-Hydroxyindoleacetic acid,DHB,positive,1,3378.4857300000003,3.5288506169593195
138,5-Hydroxyindoleacetic acid,MAPS,negative,0,0.0,0.0
139,5-Hydroxyindoleacetic acid,MAPS,positive,0,0.0,0.0
140,5-Hydroxyindoleacetic acid,NEDC,negative,0,0.0,0.0
141,5-Hydroxyindoleacetic acid,NEDC,positive,0,0.0,0.0
142,5-Hydroxyindoleacetic acid,NOR,negative,0,0.0,0.0
143,5-Hydroxyindoleacetic acid,NOR,positive,1,216.45505,2.3373694978218515
144,5-Hydroxyindoleacetic acid,pNA,negative,0,0.0,0.0
145,5-Hydroxyindoleacetic acid,pNA,positive,1,352.99186,2.548993275591529
146,6-Phosphogluconic acid,9AA,negative,1,102873.76,5.012308835041252
147,6-Phosphogluconic acid,9AA,positive,0,0.0,0.0
148,6-Phosphogluconic acid,CHCA,negative,1,872.72015,2.941372351658768
149,6-Phosphogluconic acid,CHCA,positive,1,964.232984,2.984632154227667
150,6-Phosphogluconic acid,CMBT,negative,0,0.0,0.0
151,6-Phosphogluconic acid,CMBT,positive,0,0.0,0.0
152,6-Phosphogluconic acid,ClCCA,negative,1,41.54446,1.6288430156997347
153,6-Phosphogluconic acid,ClCCA,positive,1,299.687812,2.478115824879965
154,6-Phosphogluconic acid,DAN,negative,0,0.0,0.0
155,6-Phosphogluconic acid,DAN,positive,0,0.0,0.0
156,6-Phosphogluconic acid,DHAP,negative,0,0.0,0.0
157,6-Phosphogluconic acid,DHAP,positive,0,0.0,0.0
158,6-Phosphogluconic acid,DHB,negative,1,271.84552,2.435916827258794
159,6-Phosphogluconic acid,DHB,positive,1,649.025035,2.812930083339747
160,6-Phosphogluconic acid,MAPS,negative,0,0.0,0.0
161,6-Phosphogluconic acid,MAPS,positive,0,0.0,0.0
162,6-Phosphogluconic acid,NEDC,negative,0,0.0,0.0
163,6-Phosphogluconic acid,NEDC,positive,0,0.0,0.0
164,6-Phosphogluconic acid,NOR,negative,1,8021.8633,3.904329392406726
165,6-Phosphogluconic acid,NOR,positive,0,0.0,0.0
166,6-Phosphogluconic acid,pNA,negative,1,40.37429,1.6167305541740389
167,6-Phosphogluconic acid,pNA,positive,0,0.0,0.0
168,Acetoacetic acid,9AA,positive,0,0.0,0.0
169,Acetoacetic acid,CHCA,negative,0,0.0,0.0
170,Acetoacetic acid,ClCCA,negative,0,0.0,0.0
171,Acetoacetic acid,ClCCA,positive,0,0.0,0.0
172,Acetoacetic acid,MAPS,positive,0,0.0,0.0
173,Acetoacetic acid,NEDC,positive,0,0.0,0.0
174,Acetoacetic acid,pNA,positive,0,0.0,0.0
175,Acetyl-CoA,9AA,negative,1,204906.36,5.311557557961862
176,Acetyl-CoA,9AA,positive,0,0.0,0.0
177,Acetyl-CoA,CHCA,negative,1,9388.563,3.9726453802208543
178,Acetyl-CoA,CHCA,positive,1,7108.1997,3.851820713889217
179,Acetyl-CoA,CMBT,negative,0,0.0,0.0
180,Acetyl-CoA,CMBT,positive,0,0.0,0.0
181,Acetyl-CoA,ClCCA,negative,1,496.38724,2.6966946396619615
182,Acetyl-CoA,ClCCA,positive,1,1064.56952,3.0275817892613524
183,Acetyl-CoA,DAN,negative,1,1439.2262,3.1584307071625304
184,Acetyl-CoA,DAN,positive,0,0.0,0.0
185,Acetyl-CoA,DHAP,negative,0,0.0,0.0
