name_short,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
Acetylcarnitine,4.886191877946075,5.319450462399768,3.981911148679786,4.428264626401542,4.199981035158336,3.7177208474606998,4.911950664535152,0.0,3.0469180493911368,4.751258844135223,0.0,4.9911496282609455
Acetylcholine,5.2850299174302515,5.572536376733258,4.566490205392543,4.78518421515501,4.790064349757254,4.48153681575798,5.402979223742753,3.593916322504951,3.7997756874797908,5.222523934597555,2.47525999718362,5.772044462073681
Agmatine,4.369543585782956,5.190593681094834,4.077262738409808,4.209839991297088,4.229120730833375,3.6329026512083953,4.619301649229592,0.0,3.0412096111933735,3.9190623423749362,0.0,4.638973751098538
Carbamoyl phosphate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnitine,5.115115150204343,5.435883229940026,3.7557344013278446,4.487732657459128,3.912685212851694,3.267321701950291,4.921623902404102,0.0,2.863730310816646,4.456398482521913,0.0,4.858113146266022
Choline,5.666215272916145,5.538881852925087,4.780839692503559,4.500679849218761,4.955562301409624,4.205099487038499,5.11517220224919,2.890057557340569,3.6830894744851985,5.338049699918674,2.976688592073006,5.609053103291734
Glycerophosphocholine,4.385973094920684,4.704818841592735,3.510998454042377,3.951009920713536,3.9522189318670327,3.1028722039928263,4.583049844392822,0.0,2.0606773336169772,4.577550138177788,0.0,4.474130365832695
Histamine,2.827603205578959,4.637251059152158,3.593830160716413,3.761535513638339,3.421316203610308,3.146640694631079,4.179126333280166,0.0,2.9749761808030866,3.91328504556013,0.0,4.429744379322824
Propionylcarnitine,5.007917180811387,5.117185388889678,3.8053752820040727,1.7311511078652937,3.651904371184712,3.882652901668313,5.088505681756814,0.0,3.02892486879141,4.872757799789041,0.0,4.86028845883118
Putrescine,0.0,4.252889579568502,2.855943847859885,2.8344914631187055,3.1731736183082315,1.9943150405940724,3.3139172836260298,0.0,0.0,0.0,0.0,3.4152152968417675
Spermidine,3.2822390738927743,4.51894927275082,3.6076781803672113,3.5050352429208167,3.1137413928310216,3.3159360627437087,4.58519845095573,2.359866849026924,2.220013265448055,3.754561484521529,2.449661180953069,4.011643895315859
Spermine,3.402822025695597,4.983876123537144,3.506186613470869,3.6826049875454894,4.131183686380755,3.3429658625140486,4.238204006988464,0.0,2.8784458102985284,4.015827260646655,0.0,4.379420046865444
3-Hydroxyanthranilic acid,0.0,2.932203129113515,0.0,2.11534785882126,0.0,1.3901428036874959,2.04500602381177,0.0,0.0,0.0,2.643654803394157,0.0
4-Hydroxyproline,2.3378258507457588,4.485672544312549,3.204633979398526,3.731051703283684,3.17285321175185,3.339471980862729,4.165506515711207,0.0,0.0,2.7185956457462104,0.0,3.5391570219041957
5-Hydroxyindoleacetic acid,0.0,0.0,2.7618049081718907,3.3085479164599767,3.159980643816147,3.061472233004991,3.696997816923011,0.0,0.0,2.3373694978218515,0.0,2.548993275591529
Arginine,3.69311947904992,5.16772416522092,3.962201939959882,4.148970382902825,4.307201609702202,3.5804668201504413,4.727383058982068,1.2967789034989032,2.307297736146466,4.097555544319027,2.9229511079634025,4.855069577264004
Argininosuccinic acid,1.2014110816106518,4.628570972663384,2.7143973132735932,3.8608464563530727,0.0,2.303107849952197,3.984440967917952,0.0,1.1234742285920651,1.7648661420801581,0.0,3.2949655143830223
Asparagine,0.0,4.133695638040821,3.3428900124449705,3.3627129101245807,3.6755511150750375,2.669328754219525,3.8591037325657216,0.0,2.151807816227289,2.1488928996976226,0.0,3.5110078674926077
